Date			Hour		 Msg Type 		MMSI		AIS version		IMO	 				Call Sign 			Vessel Name 		Ship Type  		Dimension		 EPFD  		ETA Date 		ETA Time 		Draught 		Destination 	DTE	Spare
2017-04-01		00:02:41		5			261000230 		1			7514658				SPGRPWQ				AJAKS				52				12-23-3-6			1			3-30		07:00			5.000000			GDANSK			0
2017-04-01		00:02:43		5			636015737 		1			9655511				DUCMX				SIBUR				84				126-34-5-21			15			4-4		01:00			8.900000			ANTWERP			0
2017-04-01		00:02:57		5			314377000 		0			9491733				XPAEW				WILSON				79				70-20-5-10			1			3-24		21:00			3.700000			GDYNIA			0
2017-04-01		00:03:07		5			261000220 		1			8102593				SQMC				ARGO				52				10-26-3-6			1			0-0		24:59			5.000000			GDANSK			0
2017-04-01		00:03:11		5			244750806 		0			0				PCFJ				GUARDIAN				90				14-8-2-5			1			0-0		24:59			1.500000			GDANSK			0
2017-04-01		00:03:11		5			261008070 		1			0				SPGRTWY				ZAG				30				3-16-3-2			1			0-0		24:59			2.400000			@@			0
2017-04-01		00:03:16		5			235083629 		1			9230414				REBCS				SEVEN				99				37-107-10-17			1			3-1		16:00			7.000000			GDANSK			0
2017-04-01		00:03:19		5			375666000 		1			7406021				JXBRRRW				STNBARBARA				79				24-54-4-9			1			7-8		14:00			5.000000			GDANSK			0
2017-04-01		00:03:32		5			276822000 		2			9762663				ESKI				PIRET				60				57-57-10-10			1			3-16		12:24			3.600000			RSB			0
2017-04-01		00:03:47		5			219159000 		1			9192076				OYVAR				FENJA				52				11-22-6-5			1			3-26		15:00			5.100000			GDANSKL			0
2017-04-01		00:04:00		5			305018000 		0			9374698				VRCJV				MARCMANDRE				70				80-10-7-6			1			3-30		15:00			3.500000			GDANSK			0
2017-04-01		00:04:03		5			219021000 		1			9632117				OWUQR				MUNKEBO				71				146-253-30-30			1			3-31		22:30			12.700000			DEBRV			0
2017-04-01		00:04:03		5			261493000 		0			0				SQSU				SGMQQR				55				12-12-2-2			1			9-16		10:00			1.500000			@@			0
